text,label
"@CableFibertel buenas tardes, tengo una falla en mis servicios desde el 02/09, solo me dicen q espere. ZARATE",NEGATIVE
Clari seguiremos tu reclamo por DM.,NEUTRAL
@CableFibertel es una de las peores empresas del pais? @CableFibertel es una de las peores empresas del pais!! 50mbps pero no llega ni a 4mbps Check out my @Speedtest result! How fast is your internet? https://www.speedtest.net/result/8666532003 … #speedtest,NEGATIVE
Cuando desde @CableFibertel se ponen la 10  pic.twitter.com/Ks1KlJUPPH,POSITIVE
"Te respondí al privado Leandro, seguimos por ahí.",NEUTRAL
"Hola, soy Sole, ante cualquier consulta quedo a tu disposición por MP",NEUTRAL
"Te respondí al privado Maca, seguimos por ahí.",NEUTRAL
Enterado...,NEUTRAL
@CableFibertel Estimados me contacto para reclamar por el servicio de cable q estuvo suspendido toda la noche .. q pasa? Gracias @BAconsumidor,NEGATIVE
@CableFibertel les mande un dm. No tengo wifi en Belgrano desde la mañana. Hola??,NEGATIVE
Que alegría Juan!!! Disfrutá a lo grande!!! Aguardamos los detalles jugosos...,POSITIVE
Si no me arreglan el wifi no voy a poder ver nada cornetas,NEGATIVE
@Remy_sil te enviamos un DM. Saludos.,NEUTRAL
Hola Luciana! Soy Sara. Te cuento que voy a estar siguiendo tu caso y voy a responder a todas tus preguntas por DM. Pasame el DNi del titular por ese medio y enseguida te informo al respecto. Saludos!,NEUTRAL
@CableFibertel por qué no estoy teniendo servicio de internet otra vez?,NEGATIVE
"Buen día Martin, ya estamos con vos por DM así verificamos el caso en detalle.",NEUTRAL
"Disculpa @andrulidionisio, queremos ayudarte, pero para ello necesitamos que por DM nos brindes los datos del titular de la cuenta a fin de poder brindarte asistencia de manera personal. Te esperamos !",NEUTRAL
El problema sigue... Hace más de 3 semanas. No pude usar el servicio desde que los contraté.,NEGATIVE
"Hola Gatón, te respondimos por DM, continuamos por ahí, gracias.",POSITIVE
Y seguimos igual después de 4hs @CableFibertel  alguna novedad muchachos? https://twitter.com/AEFDJ/status/1182443930052378625 …pic.twitter.com/fls7FAZOW3,NEUTRAL
"Ahí te contesté, pero tardaste doce horas en responder. Una paja contestar un mensaje no?",NEGATIVE
"Hola Nazarena es un gusto ponerme en contacto con vos, hablas con Conty. Te invito a que nos sigas y nos envíes un DM con el DNI del titular para asistirte de forma precisa. Te espero!",POSITIVE
Son unos giles estos de @CableFibertel ponen a cualquier bobo atendiendo el teléfono. Sea cual fuera el problema te tiene que chupar un hue... que lo arreglen porque para cobrar no tienen problemas técnicos!,NEGATIVE
"@CableFibertel buenas tardes... quiero hacer una queja, tengo 100 megas y me ands para el traste... ya me cambiaron el módem por que supuestamente ese ers el problema anterior...",NEGATIVE
@CableFibertel ya mande msje privado dos veces pueden contestar???,NEGATIVE
"Hola Luisano, vamos a chequear qué sucede con tu servicio. Para ello te enviamos un DM, continuamos ahí. Gracias!",NEUTRAL
"@CableFibertel Sé que es tarde o temprano , según con los ojos que se lo mire , mas NO PUEDE SER Q TODAS LAS MADRUGADAS ME DEJEN SIN INTERNET NI TV : INFIEREN LO Q EXIJO ?",NEGATIVE
¡Hola Caro! Te respondimos por DM.,NEUTRAL
"Imposible, pague 20 pesos x el river boca, te tratan de convencer, debes insistir, x ley te deben dar la baja en el momento y cobrarte proporcional",NEGATIVE
"Hola @andrupaglietta, te mande un mensaje privado!",NEUTRAL
Y seguimos esperando q vuelva la Internet @CableFibertel Cri Cri Cri,NEGATIVE
"Hola Gabriel, como estas? Me disculpo por las molestias ocasionadas. Te escribi por privado para pedirte los datos de la cuenta. Continuamos por ahi. Te espero!",NEUTRAL
@CableFibertel como doy de baja el pack futbol,NEUTRAL
Che @CableFibertel querés q te pase como Edesur!... Dale pelota a Lula!!! https://youtu.be/1AyeCqmP7Eg,NEUTRAL
Respondí por DM ¿La seguimos por ahí?,NEUTRAL
Ok.. ahi les escribo @CableFibertel,NEUTRAL
Te espero en mi casa y veni a hacerme el cableado de 400m q necesito,NEUTRAL
"Cata! Y @CableFibertel, tiene algo que ver con el grupo '' Clarín ''????",NEUTRAL
¡Hola ! Buenas tardes. Desde ya te pedimos disculpas por las molestias ocasionadas te dejamos un DM seguimos por ese medio . ¡Saludos!,NEUTRAL
Y si mejor me das lo que te pedí en los reclamos? Digo... No se... Fíjate que tu CM es medio bobo y acaban de perder un cliente por hacerse los pillos.,NEGATIVE
"Sandra, seguimos por DM",NEUTRAL
Hola! Te enviamos un DM.,NEUTRAL
"Disculpa la demora en respuesta Vic, acabo de responder tu consulta por DM, continuamos por ahí.",NEUTRAL
@CableFibertel Ami me dieron una prolija respuesta. A veces somos muchos los consumidores para que no se rompa nada.   Tienen una buena respuesta al consumidor. Respetemos a las personas que trabajan también.,POSITIVE
@CableFibertel tenés dm. Espero respuesta.,NEUTRAL
"Aún restan unas cuantas horas, plegarias para que te regrese el internet",NEGATIVE
@CableFibertel ya que no responden por ningún medio @BAconsumidor por favor necesito ayuda con estas lacras,NEGATIVE
Escúchame @CableFibertel  Me mandas una actualización del Deco a las 12 de la noche y me haces perder el final de lo q estaba viendo.Ahora sin datos la grilla  3100 mangos x mes me cobras !!! Andate a lpmqlp !!!  Disfruta mí dinero este mes xq el próximo me voy a Telecentro,POSITIVE
"Sebastian, seguimos tu caso por DM.",NEUTRAL
@CableFibertel  les mandé dm,NEUTRAL
"A mí me cancelaron 10 (diez) visitas pactadas para arreglar servicio de net que se cae todo el tiempo... Ya me resigne y cuando aparezca otro servicio corto y cambio @CableFibertel x otro, no piden disculpas ni te descuentan x los problemas",NEGATIVE
"Buenas noches Jorge, te respondimos por DM.",NEUTRAL
"@CableFibertel te mandé DM, sin internet pierdo la cabezaaa",NEUTRAL
Que pasa con el internet que va y viene @CableFibertel ????,NEUTRAL
"@CableFibertel hola, les mandé inbox",NEUTRAL
La estafa constante de @CableFibertel es inaudita. Me dieron una promoción que nunca aplicaron. Si @MovistarArg o @TeleCentroAr me ofrecen un servicio similar (tengo 100 megas de conexión) me paso inmediatamente.,NEGATIVE
@CableFibertel cómo no puedo x tel( están muy ocupados) te pido por acá: me devolverá la señal??@CableFibertel,NEGATIVE
No me anda el wifi ayuda @CableFibertel,NEGATIVE
Quiero ver mi programa desde hoy y no me deja código de error S1086 @CableFibertel #Flow,NEUTRAL
LUNES 7   23:30 HS   EL FUTBOL    CANAL 7 @CableFibertel @SomosSurOk  Compacto @InstitutoACC 1 @qacoficial 1     Hinchas Quilmeños en #Cordoba de todas partes.   La palabra de @MarcosL96 y su familia dandolé puntaje   NUEVA CONDUCCIÓN FUTBOL JUVENILpic.twitter.com/MQIvAQkIFR,NEUTRAL
@CableFibertel los mas chorros de la historia,NEGATIVE
#LosPumas se juegan la posibilidad de seguir con chances de clasificación en el #MundialDeRugby  a la siguiente fase frente a #Inglaterra mañana 4.45 h por ESPN. Todo el deporte está en @CableFibertel   La agenda deportiva  https://goo.gl/fZRta5 pic.twitter.com/jfzQP2HjnH,NEUTRAL
"Tuve cortes de Internet todas las noches de la semana pasada + una vez durante el día servicio completo. Esta semana se vio el cable como en tu foto y estuve sin internet por más de 12h. No atienden y facturan al 100%. Estafan, denuncio. HARTA",NEGATIVE
Dejen de boludear en Twitter y trabajen en mejorar el deficiente servicio q proporcionan,NEGATIVE
"Grande Lean, no tenia esa data, mañana sale un llamadito",NEGATIVE
Saliste de tu casa y ves ma camioneta de @CableFibertel en la puerta. Estarán laburando o es sólo un decorado?,NEUTRAL
"Realmente parece joda lo de @CableFibertel Se abusan del bolsillo y el tiempo de la gente. Es el 5to reclamo que hago en 1 mes. 3 visitas a mi domicilio, 12 llamados y ni una solución. @eduardosacheri estoy esperándolo al Wifi, más que a Tito. Su retwit es mi salvación",NEGATIVE
"Buenas tardes, gracias por escribirnos. Si la prestación de tu servicio o la contratación del mismo es en el ámbito de CABA, te recomendamos realizar la denuncia ingresando en: http://bit.ly/HacéTuDenuncia . ¡Saludos!",POSITIVE
Y??? Estoy esperando me contesten por privado!!!!!,NEGATIVE
"Traigan al melli que al menos jugaba a algo, muertos.pic.twitter.com/CM1TJIwxVX",NEGATIVE
Hola Maru! Mi nombre es Sara.  Te cuento que voy a estar siguiendo tu caso y voy a responder a todas tus preguntas por DM. Saludos!,NEUTRAL
Hace 1 semana que vinieron a instalar @CableFibertel flow y todavía no lo lograron hacer andar más los 18 min que perdí hablando por teléfono hoy! El peor servicio del mundo,NEGATIVE
@CableFibertel buenas.... quería saber que pasa con la aplicación de Netflix en flow porq no me anda desde hace mínimo 2 días...,MIXED
Hola Stella! te envíe un DM.,NEUTRAL
"@CableFibertel pacte un precio con Fibertel y me mandaron la factura por un importe 1000 pesos superior, error o intento de estafa, obvio no la voy a pagar hasta que no me hagan la factura como corresponde, y si no tengo respuesta me vuelvo a Movistar también",NEGATIVE
@CableFibertel la concha bien de tu madre,POSITIVE
"Ay, no tiene caso",NEGATIVE
Llega el final de temporada de una de las series del año. No te pierdas Succession a las 22 Hs. por HBO y en todos tus dispositivos con Flow  http://bit.ly/Descargá_Flow_App …pic.twitter.com/Qu9imPPipU,NEUTRAL
"Hola Javier R., te pido por favor que nos sigas y nos envíes un DM junto con el DNI del titular del servicio para con gusto poder ayudarte desde acá. ¡Te esperamos!",NEUTRAL
@AngieMailen Hola soy Daiana. Te respondí por DM,NEUTRAL
Te he respondido por privado. Seguimos por esa vía.- Cami S,NEUTRAL
@CableFibertel x favor se pueden comunicar conmigo??,NEUTRAL
Al menos @TeleCentroAr responde,NEUTRAL
"Voy a empezar a averiguar, porque ya estoy cansada de tener problemas con Internet siempre.",NEGATIVE
"Débito automático A NADA, no es error esto, es una avivada de las empresas. Si pasa, pasa.",NEUTRAL
@CableFibertel que patético  servicio. Espere todo el día el servicio técnico habiendo confirmado la visita. En 5 meses de Flow el servicio funcionó PESIMO,NEGATIVE
