text,label
"@CableFibertel buenas tardes, tengo una falla en mis servicios desde el 02/09, solo me dicen q espere. ZARATE",NEGATIVE
@CableFibertel es una de las peores empresas del pais? @CableFibertel es una de las peores empresas del pais!! 50mbps pero no llega ni a 4mbps Check out my @Speedtest result! How fast is your internet? https://www.speedtest.net/result/8666532003 … #speedtest,NEGATIVE
@CableFibertel Estimados me contacto para reclamar por el servicio de cable q estuvo suspendido toda la noche .. q pasa? Gracias @BAconsumidor,NEGATIVE
@CableFibertel les mande un dm. No tengo wifi en Belgrano desde la mañana. Hola??,NEGATIVE
Si no me arreglan el wifi no voy a poder ver nada cornetas,NEGATIVE
@CableFibertel por qué no estoy teniendo servicio de internet otra vez?,NEGATIVE
El problema sigue... Hace más de 3 semanas. No pude usar el servicio desde que los contraté.,NEGATIVE
"Ahí te contesté, pero tardaste doce horas en responder. Una paja contestar un mensaje no?",NEGATIVE
Son unos giles estos de @CableFibertel ponen a cualquier bobo atendiendo el teléfono. Sea cual fuera el problema te tiene que chupar un hue... que lo arreglen porque para cobrar no tienen problemas técnicos!,NEGATIVE
"@CableFibertel buenas tardes... quiero hacer una queja, tengo 100 megas y me ands para el traste... ya me cambiaron el módem por que supuestamente ese ers el problema anterior...",NEGATIVE
@CableFibertel ya mande msje privado dos veces pueden contestar???,NEGATIVE
"@CableFibertel Sé que es tarde o temprano , según con los ojos que se lo mire , mas NO PUEDE SER Q TODAS LAS MADRUGADAS ME DEJEN SIN INTERNET NI TV : INFIEREN LO Q EXIJO ?",NEGATIVE
"Imposible, pague 20 pesos x el river boca, te tratan de convencer, debes insistir, x ley te deben dar la baja en el momento y cobrarte proporcional",NEGATIVE
Y seguimos esperando q vuelva la Internet @CableFibertel Cri Cri Cri,NEGATIVE
Y si mejor me das lo que te pedí en los reclamos? Digo... No se... Fíjate que tu CM es medio bobo y acaban de perder un cliente por hacerse los pillos.,NEGATIVE
"Aún restan unas cuantas horas, plegarias para que te regrese el internet",NEGATIVE
@CableFibertel ya que no responden por ningún medio @BAconsumidor por favor necesito ayuda con estas lacras,NEGATIVE
"A mí me cancelaron 10 (diez) visitas pactadas para arreglar servicio de net que se cae todo el tiempo... Ya me resigne y cuando aparezca otro servicio corto y cambio @CableFibertel x otro, no piden disculpas ni te descuentan x los problemas",NEGATIVE
