text,label,p
Cuando desde @CableFibertel se ponen la 10  pic.twitter.com/Ks1KlJUPPH,POSITIVE,0.761808995585675
Que alegría Juan!!! Disfrutá a lo grande!!! Aguardamos los detalles jugosos...,POSITIVE,0.961133602835001
"Hola Gatón, te respondimos por DM, continuamos por ahí, gracias.",POSITIVE,0.63703813317284
"Buenas, pudiste solucionarlo? Gracias!",POSITIVE,0.612803846148079
Estaría bueno que respondan @CableFibertel,POSITIVE,0.703539662644502
Claro es muy bueno!,POSITIVE,0.741602544983915
"Buena, Juan, te felicito!!!  PD: nadie comentó nada con odio, más bien todo lo contrario  #Curiosidades",POSITIVE,0.652751257128043
"¡Hola Ezequiel! Estamos a disposición para poder ayudarte, te respondí por DM a fin de que podamos seguir en detalle tu caso. Muchas gracias!",POSITIVE,0.804551696013043
Bienvenido al club @CableFibertel que se ve asi pic.twitter.com/dXfiqfcnrt,POSITIVE,0.773055162374738
"Gracias por contactarnos, Brian, te enviamos más detalles por DM.",POSITIVE,0.623669645064609
"¡Hola Dolores! Estamos a disposición para poder ayudarte, te respondí por DM a fin de que podamos seguir en detalle tu caso. Muchas gracias!",POSITIVE,0.797237086302946
"Buenos días Rober, lo recibimos :) Seguimos por esa vía para ayudarte, gracias!",POSITIVE,0.698532740929283
"Hola Marcela, se está realizando un Trabajo por Mejoras en el barriohttps://twitter.com/EpecOficial/status/1182596745978613760 …",POSITIVE,0.697534169671918
"Ok, gracias",POSITIVE,0.691084038696197
"Primer día de calor en Córdoba y a @EpecOficial ya se le escapó la tortuga. Lindo veranito nos espera. Bienvenidos a Argentina, precios de primer mundo para servicios primitivos.",NEGATIVE,0.69827893182955
@EpecOficial gran corte en Villa Allende. Por lo menos todo barrio golf,NEGATIVE,0.825843352554312
Buenisimo! Gracias,POSITIVE,0.92565606585892
Ok. Gracias !!,POSITIVE,0.691084038696197
A vos. ¡Que tengas un buen día! Saludos.,POSITIVE,0.751987934980457
"Buenas tardes, existe un trabajo por mejoras programado en la zona.",POSITIVE,0.893786091722224
Un amor!!!,POSITIVE,0.79341876751439
¡Gracias Juan Pablo!,POSITIVE,0.731863589318303
@EpecOficial en 4 días dos cortes de luz!!!! Qué pasó ahora? Martín García al 1053,NEGATIVE,0.755265291399035
"Buenos días, nuestro personal trabaja para normalizar el sector en el menor tiempo posible.",NEUTRAL,0.911568427990813
@EpecOficial hay un corte programado en barrio observatorio?? Gracias,NEUTRAL,0.890902414988054
@EpecOficial hola. Cuando vuelve la luz en barrio paso de los andes ? Gracias,POSITIVE,0.650987494929797
Se cortó de nuevo!!!,NEGATIVE,0.647068726679318
Buenas tengo una consulta,NEUTRAL,0.63602694295114
ya lo solucionaron gracias!!!,POSITIVE,0.877997406207391
@EpecOficial Una vez más sin Luz de BARRIO AMPL. SAN PABLO. Y según @JSchiaretti tenemos el mejor servicio de luz del país. Gracias gobernador... por brindarnos tan buen servicio a los ciudadanos. + de 1000 cortes 2019 @edufeiok @todonoticias @radiomitrecba @radiomitre,POSITIVE,0.731402898259101
Nuestro personal trabaja para que sea a la brevedad.,NEUTRAL,0.844133630893944
"Gracias @EpecOficial, siempre estás cuando lo necesito. pic.twitter.com/61CyD5qxuJ",POSITIVE,0.638866284520984
A vos. ¡Que tengas un buen día! Saludos.,POSITIVE,0.751987934980457
"Hoy estoy en modo servicios. Miren el 404 de @EpecOficial que, en comunicación online, hace casi todo bien. Monstruito con una vela... con una vela! #epic pic.twitter.com/s8dY5oFi3k",POSITIVE,0.612062230178613
Bueno ya estaria para que vuelva la luz @EpecOficial,POSITIVE,0.629556639092518
Existe un trabajo por mejoras programado en la zona hasta las 13hrs aproximadamente.,NEUTRAL,0.816450320286302
@EpecOficial tres cortes de luz en un día.,NEGATIVE,0.891249836355377
"Buenos días Nicolas, está vinculado a ese trabajo por mejoras.",POSITIVE,0.808239411468835
"Buenas noches, nuestro personal trabaja para que sea a la brevedad.",POSITIVE,0.929431707317222
Súper F,POSITIVE,0.82029484488405
"@EpecOficial hola buenas tardes, qué pasó que se corto la luz en barrio General Paz?",POSITIVE,0.867058677638266
Ya vino la gente d EPEC y solucionó el inconveniente a las 9.45 hs. Muchas gracias. Feliz finde..,POSITIVE,0.870803078174107
"@EpecOficial buenas noches, que pasa con la luz en barrio Altamira? Se cortó vino un ratito y se volvió a cortar intento volver y de nuevo estamos oscuras.",POSITIVE,0.747821810478447
Gracias por respuesta inmediata que tengan un feliz viernes buen diaaa,POSITIVE,0.75455324749232
Gracias @EpecOficial por el trato amistoso con mi amigo Lauti,POSITIVE,0.666511427924175
espero que sean puntuales y a las 13 vuelva.,NEUTRAL,0.821756777733547
"@EpecOficial buenos días, en el barrio El Refugio , en que horario es el corte de suministro?",POSITIVE,0.792100792324914
Y con un fuerte aplauso recibimos a la temporada de cortes veranos 2019/2020. Aplausos vamos!,POSITIVE,0.894873239957211
"Iris, nuestra cuadrilla continúa trabajando en la zona. En unos minutos se normalizará el servicio de manera definitiva en el sector.",POSITIVE,0.915982705618398
"Buenos días, el servicio se normalizó.",POSITIVE,0.88824579471858
@EpecOficial  hola barrio Yapeyú siN luz que pasó a qué hora la luz,NEUTRAL,0.915706581362438
@EpecOficial barrio Obrero calle Sol de Mayo 420 sin luz!!!,NEGATIVE,0.778558368290948
"Que lindo, volvió el calor, las tardes en la pileta tomando ferne y sobretodo VOLVIERON LOS CORTÉS DE @EpecOficial y la concha de tu dueño",NEGATIVE,0.648192146953903
Primer calor del año y ya se corta la luz @EpecOficial,NEGATIVE,0.74103152042494
"@EpecOficial buenas tardes, barrio el Refugio, altura recta Martinolli al 8900 todos los vecinos sin sumistro, que pasa?",POSITIVE,0.862965790159581
Como casi todos los fines de semana!!,POSITIVE,0.890143045132117
Perfecto q calles,POSITIVE,0.956300666480082
"@EpecOficial unos genios ustedes, la factura vence el 7 y te llega el 8...",POSITIVE,0.809655142418514
Oka gracias por responder!..A esperar!,POSITIVE,0.624523811881659
Volvió la luz. Igualmente muchas gracias por contactarse a la brevedad,POSITIVE,0.675044123407359
Ok gracias por la información,POSITIVE,0.691084038696197
@EpecOficial que pasa con el corte en barrio jardín???,POSITIVE,0.655095759397278
Todo Ok. Muy eficiente la cuadrilla. Los felicito.,POSITIVE,0.970024706695087
"sigo pensando que Jaehyun le hubiese ido muy bien a SuperM, canta hermoso, baila increible y habla ingles, el es simplemente perfecto, pero bueno Jaehyun esta descansando ademas pronto tendrán un tour en Japon (hubiese sido sido hermoso verlo de nuevo con Ten, but it's ok)",POSITIVE,0.831910740312154
"Bueno, nadie confiaba en mí pero lo he conseguido: he hecho lasaña. Y está comestible.",POSITIVE,0.710431028196115
"Linda  Hace tiempo que no tengo problemas con eso, pero yo tengo esta cuenta y otra enfocada al mundo de la educación, más profesional. Creo que el problema viene por tener a unas pocas personas en ambas, quizá esta debería haberla mantenido más privada, pero bueno, todo bien!!",POSITIVE,0.668094043170519
"Bueno, pues ya en Madrid con muchas ganas de volver a Praga. Pero esta vez de turismo! Mañana a #enlightED #MIEExpertpic.twitter.com/V8o7DBdjif",NEUTRAL,0.615139629399307
"Y después de tantos años ustedes no han podido con su proyecto de la alterna al llano?, solo publican obras de verdad y realizadas por otros porque esta esta joche y sin un final feliz pronto para la región, pero bueno las otras obras en el país esas si avanzan, bien por ellos",POSITIVE,0.670394653885992
"un show DE HALLOWEEN  podemos mirarlo esta noche, aunque yo llego tarde a casa pero bueno",POSITIVE,0.959625568493815
"Hola de nuevo compañeros y compañeras. Aquí estoy una vez más para acompañaros en esta hermosa tarde dominical (cielo gris y amenaza lluvia), pero bueno, es igual, la lluvia también es hermosa...",POSITIVE,0.623179788374502
Bueno se que es mejor animacion al 100 por ciento y esta genial aunque se me hace poquito raro ya que siempre estube acostumbrada a la animacion original pero igual esta increible,POSITIVE,0.884865819122131
Me hubiera gustado una pista basada en la academia del mal. Pero esta muy bueno,POSITIVE,0.629066775473936
Me gusta Mirador. Pero también está bueno ver el contexto de la cuadra. Y también podés agregarle algún mural para reflejar el interior de ese gran emprendimiento ;),POSITIVE,0.988072983160232
Que esperabas? esta gente es muy famosa por hacer cualquier cosa con la comida. Pero bueno cada uno con sus cosas.,POSITIVE,0.872164085087785
"Sin duda sería muy bueno que TODOS ejercieran su derecho a voto. También sería muy bueno que todos hicieran ejercicios, gimnasia, músculos,etc....pero,  por bueno que sea, los podemos obligar ? Está muy bien así, que voten los que quieran !!",POSITIVE,0.723501174793324
"Hola preciosa,imagínate a la hora que estoy yo leyendo,desde esta mañana que entré,pero bueno hoy no me quejo de nada porque no hace tanto calor,y así se lleva todo mejor,incluso he almorzado con amigas,en fin bien todo,espero que estés disfrutando! pic.twitter.com/8xqHcQkqfH",POSITIVE,0.910902003075979
"queeeee bueno q está marco antonio caponi, pero chicos LA MUJER stoy enamorada, con quien me quedo? puedo con los 2¿¿",POSITIVE,0.808695344709024
"#Inktober2019 Mindless  . . Bueno, segundo dibujo, y está vez algo más holgado de tiempo :) aunque es más cutre, pero bueno, ahí está, espero que os guste en Vitoria-Gasteiz, Pais Vasco,… https://www.instagram.com/p/B3IVdS3ooVqOuvumnayof8LZXTRzGZB2OSHhhY0/?igshid=6vwgfd3ffrku …",POSITIVE,0.719278449545361
"Me lo pasaron , es largo pero esta bueno. Igual con solo verlo 5 seg , alcanza! pic.twitter.com/MBnipKnGaS",POSITIVE,0.711568340297478
"Esta feucho pero bueno xd 2 dia de #RichTober , @ElRichMC  con una mascota! Piggers!pic.twitter.com/egj75dFTbt",POSITIVE,0.687542299155108
Esta re bueno pero es que..,POSITIVE,0.895912771203101
"A esta hora el café es una gran cosa, bueno a toda hora pero a esta más",POSITIVE,0.812337549299145
"Faltaron mi tame impala y childish gambino  pero el line up del lolla está muy bueno, regálenme una entrada porfa",POSITIVE,0.632303937341494
Bueno gente no es por deprimirlos pero se acerca el cumpleaños de esta hermosa personita pic.twitter.com/fypWM2dLrR,POSITIVE,0.907467952017636
"Muy buenos días familia, al fin viernes!!!! , llegó el esperado fin de semana, ufff, que larga se me ha hecho esta semana amigos, no sé a vosotras pero bueno, a partir de esta tarde noche a descansar, disfrutar,… https://www.instagram.com/p/B3MAY6LHABp/?igshid=3zbbglytn90i …",POSITIVE,0.961696086959857
"Bueno, no se si tanto, pero está muy linda",POSITIVE,0.625874916507381
"Solo he visto Grey's y pues bueno tiene sus cosas pero creo que son soportables, merece mucho la pena ver esta serie maravillosa!",POSITIVE,0.95876469322652
"hagamos cabinas para transportar a la gente. viajes verticalizados incesantes y claustrofóbicos pero qué dices, tas loco que si! ya verás, cambiaremos el paisaje de las ciudades. edificios infinitos. los empeoraremos querrás decir! bueno está bien,  les pondré espejos.",POSITIVE,0.941614106695678
"A mí me gusta que una persona sea diferente a mí pero que podamos compartir algunas cosas ya sea en personalidad o gustos porque está bueno, incluso la diferencia de opiniones y esas cosas",POSITIVE,0.943757754221234
"Esta bueno, combina. Pero prueba ponerle color a tu vestuario  Combina el negro con el rojo, lila o incluso un amarillo.",POSITIVE,0.929903889310223
"que bueno que me salí de esta clase de gente, tardé comprender y todavía me cuesta pero poco a poco veo los resultados",POSITIVE,0.69794979999967
"la soledad se disfruta cuando se esta en equilibrio con uno mismo, pero cuando algo seta fuera de esa armonía, es bueno contar con un abrazo y un silencio aunque sea en la distanciapara ti muchos mas, animo",POSITIVE,0.970678639116997
La verdad es que hubiera estado genial que la Tabacalera fuera el Ayuntamiento pero bueno ya esta así,POSITIVE,0.738148186003466
"Miren esta opción momosha de domicilio sin plástico ni icopor (excepto la bebida), pero bueno, algo es algo.  pic.twitter.com/S674nHK4Qd",POSITIVE,0.923580285747473
"Que discreto el juego de Cerro viejo. Pero bueno, ya está. No más mala onda.",POSITIVE,0.629117425566405
"bueno ya lo dije pero voy a dejar un poco esta cuenta un tiempo que lo necesito, estare en mi otra cuenta:)",POSITIVE,0.736753205164654
"Tiene:  –Garbanzos –Brócoli –Cebolla –Champiñones –Jengibre (en polvo)  –Cúrcuma –Curry  Para la salsa:  Cualquier leche vegetal sirve, yo usé de soja. Pero con leche de coco también está bueno",POSITIVE,0.73746742278899
"Jajaj bueno pero ya casi esta, ya lo tenés mi amorrr te amo",POSITIVE,0.795050852766529
BUENO PERO ESTA NIÑA SE PONE MÁS BONITA CADA QUE RESPIRA O Q.  https://twitter.com/TwicePIC/status/1179404606805331970 …,POSITIVE,0.923963036513352
"""Somos un equipo nuevo pero está bueno el proceso de su construcción” http://www.basquet24.com/somos-un-equipo-nuevo-pero-esta-bueno-el-proceso-de-su-construccion/ …",POSITIVE,0.635406133858803
"Eso esta muy bien y te deseo la mejor suerte.  Pero pasar a hacer parte de la lista verde es de hecho un calculo politico.  No digo que sea malo perse, pero es pasar a un partido verde que de verde solo tiene el nombre. Pero bueno mucha suerte!!!",POSITIVE,0.836187084547182
"Es bueno acceder a perder el orgullo a veces cuando ambos son orgullosos, pero a veces tenemos que ver hasta qué punto está dispuesta la otra persona a mantener su orgullo. No hay que ser siempre el que acceda",POSITIVE,0.845833981497774
"Oye, pero qué bueno esto. Sobre todo porque está escrito impecablemente. pic.twitter.com/mTvSJZs7u8",POSITIVE,0.904598304132673
"bueno en verdad si, que me lo guarde pero ya esta :)",POSITIVE,0.833932620135489
"Bien, ya he empezado el Máster, ya he dado una clase de cada asignatura y me está gustando bastante. En general veo que voy a sufrir bastante porque lógicamente mi nivel de dibujo, escultura y anatomía no es demasiado bueno, pero me alegro porque voy a aprender un montón!!",POSITIVE,0.774358331568587
"Creo que en el caso de esta peli, la sala es importante. A mi me gustó por dos razones, el sonido (para mi el verdadero prota de la peli) y la ausencia de diálogos. La oscuridad y la acústica del cine ayudaban mucho.  Pero bueno, para gustos colores.",POSITIVE,0.931517425135776
"""Creo que todos tenemos ambas partes, ¿no?  Pero, bueno, como digo... haré el esfuerzo para que las cosas no vayan tan mal.""  —Los últimos sorbos a su copa mezclada.  ""Está bien. Descubramos tu lado encantador, si es posible.""",POSITIVE,0.792526399898924
"Merecida victoria. Una pena por Roger después de los 5 MPs salvados, pero se merece esta victoria el bueno de Sascha.",POSITIVE,0.606848663258666
Había otra que se veía de forma panorámica todo el vestuario pero bueno esta foto también se ve una parte.,POSITIVE,0.921965685836724
Bueno .. pero la canción de harry esta buena,POSITIVE,0.861010317693254
Bueno en total hice: 6 horas de cola.  Esta es una foto de mi formandole peo al militar porque se me colearon 4 que no hicieron cola. Pero salí divino lleno de gasolina pic.twitter.com/GKYeu9fFY0,POSITIVE,0.61942243557885
"Fantabulosa la tienda esta de Santiago de fumetas por un té afrutado que prefiero un café con leche pero bueno aquí solo hay infusiones 1,40 y te lo dan en una tetera pequeña que te llena 2 tazas mientras juegas al que quieras de más de 1000 títulos gratis pic.twitter.com/8o586LkQUP",POSITIVE,0.914767800138912
