text,label
No estoy muy seguro de esta compra,NEUTRAL
Estoy muy decepcionado con esta empresa,NEGATIVE
Esto es una maravilla,POSITIVE
Estoy muy decepcionado,NEGATIVE
No estoy seguro de eso,NEUTRAL
Es un bardo,NEGATIVE
es un quilombo,NEGATIVE
es un quilombazo,NEGATIVE
la scaloneta es lo más grande que hay,POSITIVE
aguante messi,POSITIVE
te amo messi,POSITIVE
es un bardazo enorme,NEGATIVE
vivis bardeando hijo de puta,NEGATIVE
dejá de bardear forro,NEGATIVE
todo el tiempo bardeando,NEUTRAL
se la pasó bardeando,NEGATIVE
hizo un re bardo,NEGATIVE
la rompió toda,POSITIVE
la descosiste toda!,POSITIVE
Me encanta este producto,POSITIVE
No estoy muy seguro de esta compra,NEUTRAL
No puedo creer lo malo que es este producto,NEGATIVE
Este servicio es increíble,POSITIVE
Estoy muy decepcionado con esta empresa,NEGATIVE
Cuando desde @CableFibertel se ponen la 10  pic.twitter.com/Ks1KlJUPPH,POSITIVE
Que alegría Juan!!! Disfrutá a lo grande!!! Aguardamos los detalles jugosos...,POSITIVE
"Hola Gatón, te respondimos por DM, continuamos por ahí, gracias.",POSITIVE
"Buenas, pudiste solucionarlo? Gracias!",POSITIVE
Estaría bueno que respondan @CableFibertel,POSITIVE
Claro es muy bueno!,POSITIVE
"Buena, Juan, te felicito!!!  PD: nadie comentó nada con odio, más bien todo lo contrario  #Curiosidades",POSITIVE
"¡Hola Ezequiel! Estamos a disposición para poder ayudarte, te respondí por DM a fin de que podamos seguir en detalle tu caso. Muchas gracias!",POSITIVE
Bienvenido al club @CableFibertel que se ve asi pic.twitter.com/dXfiqfcnrt,POSITIVE
"Gracias por contactarnos, Brian, te enviamos más detalles por DM.",POSITIVE
"¡Hola Dolores! Estamos a disposición para poder ayudarte, te respondí por DM a fin de que podamos seguir en detalle tu caso. Muchas gracias!",POSITIVE
"Buenos días Rober, lo recibimos :) Seguimos por esa vía para ayudarte, gracias!",POSITIVE
"Hola Marcela, se está realizando un Trabajo por Mejoras en el barriohttps://twitter.com/EpecOficial/status/1182596745978613760 …",POSITIVE
"Ok, gracias",POSITIVE
"Primer día de calor en Córdoba y a @EpecOficial ya se le escapó la tortuga. Lindo veranito nos espera. Bienvenidos a Argentina, precios de primer mundo para servicios primitivos.",NEGATIVE
@EpecOficial gran corte en Villa Allende. Por lo menos todo barrio golf,NEGATIVE
Buenisimo! Gracias,POSITIVE
Ok. Gracias !!,POSITIVE
A vos. ¡Que tengas un buen día! Saludos.,POSITIVE
"Buenas tardes, existe un trabajo por mejoras programado en la zona.",POSITIVE
Un amor!!!,POSITIVE
¡Gracias Juan Pablo!,POSITIVE
@EpecOficial en 4 días dos cortes de luz!!!! Qué pasó ahora? Martín García al 1053,NEGATIVE
"Buenos días, nuestro personal trabaja para normalizar el sector en el menor tiempo posible.",NEUTRAL
@EpecOficial hay un corte programado en barrio observatorio?? Gracias,NEUTRAL
@EpecOficial hola. Cuando vuelve la luz en barrio paso de los andes ? Gracias,POSITIVE
Se cortó de nuevo!!!,NEGATIVE
Buenas tengo una consulta,NEUTRAL
ya lo solucionaron gracias!!!,POSITIVE
@EpecOficial Una vez más sin Luz de BARRIO AMPL. SAN PABLO. Y según @JSchiaretti tenemos el mejor servicio de luz del país. Gracias gobernador... por brindarnos tan buen servicio a los ciudadanos. + de 1000 cortes 2019 @edufeiok @todonoticias @radiomitrecba @radiomitre,POSITIVE
Nuestro personal trabaja para que sea a la brevedad.,NEUTRAL
"Gracias @EpecOficial, siempre estás cuando lo necesito. pic.twitter.com/61CyD5qxuJ",POSITIVE
A vos. ¡Que tengas un buen día! Saludos.,POSITIVE
"Hoy estoy en modo servicios. Miren el 404 de @EpecOficial que, en comunicación online, hace casi todo bien. Monstruito con una vela... con una vela! #epic pic.twitter.com/s8dY5oFi3k",POSITIVE
Bueno ya estaria para que vuelva la luz @EpecOficial,POSITIVE
Existe un trabajo por mejoras programado en la zona hasta las 13hrs aproximadamente.,NEUTRAL
@EpecOficial tres cortes de luz en un día.,NEGATIVE
"Buenos días Nicolas, está vinculado a ese trabajo por mejoras.",POSITIVE
"Buenas noches, nuestro personal trabaja para que sea a la brevedad.",POSITIVE
Súper F,POSITIVE
"@EpecOficial hola buenas tardes, qué pasó que se corto la luz en barrio General Paz?",POSITIVE
Ya vino la gente d EPEC y solucionó el inconveniente a las 9.45 hs. Muchas gracias. Feliz finde..,POSITIVE
"@EpecOficial buenas noches, que pasa con la luz en barrio Altamira? Se cortó vino un ratito y se volvió a cortar intento volver y de nuevo estamos oscuras.",POSITIVE
Gracias por respuesta inmediata que tengan un feliz viernes buen diaaa,POSITIVE
Gracias @EpecOficial por el trato amistoso con mi amigo Lauti,POSITIVE
espero que sean puntuales y a las 13 vuelva.,NEUTRAL
"@EpecOficial buenos días, en el barrio El Refugio , en que horario es el corte de suministro?",POSITIVE
Y con un fuerte aplauso recibimos a la temporada de cortes veranos 2019/2020. Aplausos vamos!,POSITIVE
"Iris, nuestra cuadrilla continúa trabajando en la zona. En unos minutos se normalizará el servicio de manera definitiva en el sector.",POSITIVE
"Buenos días, el servicio se normalizó.",POSITIVE
@EpecOficial  hola barrio Yapeyú siN luz que pasó a qué hora la luz,NEUTRAL
@EpecOficial barrio Obrero calle Sol de Mayo 420 sin luz!!!,NEGATIVE
"Que lindo, volvió el calor, las tardes en la pileta tomando ferne y sobretodo VOLVIERON LOS CORTÉS DE @EpecOficial y la concha de tu dueño",NEGATIVE
Primer calor del año y ya se corta la luz @EpecOficial,NEGATIVE
"@EpecOficial buenas tardes, barrio el Refugio, altura recta Martinolli al 8900 todos los vecinos sin sumistro, que pasa?",POSITIVE
Como casi todos los fines de semana!!,POSITIVE
Perfecto q calles,POSITIVE
"@EpecOficial unos genios ustedes, la factura vence el 7 y te llega el 8...",POSITIVE
Oka gracias por responder!..A esperar!,POSITIVE
Volvió la luz. Igualmente muchas gracias por contactarse a la brevedad,POSITIVE
Ok gracias por la información,POSITIVE
@EpecOficial que pasa con el corte en barrio jardín???,POSITIVE
Todo Ok. Muy eficiente la cuadrilla. Los felicito.,POSITIVE
"sigo pensando que Jaehyun le hubiese ido muy bien a SuperM, canta hermoso, baila increible y habla ingles, el es simplemente perfecto, pero bueno Jaehyun esta descansando ademas pronto tendrán un tour en Japon (hubiese sido sido hermoso verlo de nuevo con Ten, but it's ok)",POSITIVE
"Bueno, nadie confiaba en mí pero lo he conseguido: he hecho lasaña. Y está comestible.",POSITIVE
"Linda  Hace tiempo que no tengo problemas con eso, pero yo tengo esta cuenta y otra enfocada al mundo de la educación, más profesional. Creo que el problema viene por tener a unas pocas personas en ambas, quizá esta debería haberla mantenido más privada, pero bueno, todo bien!!",POSITIVE
"Bueno, pues ya en Madrid con muchas ganas de volver a Praga. Pero esta vez de turismo! Mañana a #enlightED #MIEExpertpic.twitter.com/V8o7DBdjif",NEUTRAL
"Y después de tantos años ustedes no han podido con su proyecto de la alterna al llano?, solo publican obras de verdad y realizadas por otros porque esta esta joche y sin un final feliz pronto para la región, pero bueno las otras obras en el país esas si avanzan, bien por ellos",POSITIVE
"un show DE HALLOWEEN  podemos mirarlo esta noche, aunque yo llego tarde a casa pero bueno",POSITIVE
"Hola de nuevo compañeros y compañeras. Aquí estoy una vez más para acompañaros en esta hermosa tarde dominical (cielo gris y amenaza lluvia), pero bueno, es igual, la lluvia también es hermosa...",POSITIVE
Bueno se que es mejor animacion al 100 por ciento y esta genial aunque se me hace poquito raro ya que siempre estube acostumbrada a la animacion original pero igual esta increible,POSITIVE
Me hubiera gustado una pista basada en la academia del mal. Pero esta muy bueno,POSITIVE
Me gusta Mirador. Pero también está bueno ver el contexto de la cuadra. Y también podés agregarle algún mural para reflejar el interior de ese gran emprendimiento ;),POSITIVE
Que esperabas? esta gente es muy famosa por hacer cualquier cosa con la comida. Pero bueno cada uno con sus cosas.,POSITIVE
"Sin duda sería muy bueno que TODOS ejercieran su derecho a voto. También sería muy bueno que todos hicieran ejercicios, gimnasia, músculos,etc....pero,  por bueno que sea, los podemos obligar ? Está muy bien así, que voten los que quieran !!",POSITIVE
"Hola preciosa,imagínate a la hora que estoy yo leyendo,desde esta mañana que entré,pero bueno hoy no me quejo de nada porque no hace tanto calor,y así se lleva todo mejor,incluso he almorzado con amigas,en fin bien todo,espero que estés disfrutando! pic.twitter.com/8xqHcQkqfH",POSITIVE
"queeeee bueno q está marco antonio caponi, pero chicos LA MUJER stoy enamorada, con quien me quedo? puedo con los 2¿¿",POSITIVE
"#Inktober2019 Mindless  . . Bueno, segundo dibujo, y está vez algo más holgado de tiempo :) aunque es más cutre, pero bueno, ahí está, espero que os guste en Vitoria-Gasteiz, Pais Vasco,… https://www.instagram.com/p/B3IVdS3ooVqOuvumnayof8LZXTRzGZB2OSHhhY0/?igshid=6vwgfd3ffrku …",POSITIVE
"Me lo pasaron , es largo pero esta bueno. Igual con solo verlo 5 seg , alcanza! pic.twitter.com/MBnipKnGaS",POSITIVE
